Store Name,Row ID,Title,Code,Description,Expiry Date,Status,Coupon URL,Priority
Tenzing Natural Energy,,20% Off on New Arrivals,BIGENERGY,Get 20% Discount on New Range of Energy Drinks at Tenzing,,Active,https://tenzingnaturalenergy.com/,
Tenzing Natural Energy,,25% Off on Original Recipe Drinks,NATURAL,Save 25% on Original Recipe Energy Drinks at Tenzing,,Active,https://tenzingnaturalenergy.com/,3
Tenzing Natural Energy,,20% Off on Bundles,POWEROFNATURE20,Get 20% Off on Bestseller Bundles at Tenzing,,Active,https://tenzingnaturalenergy.com/,
Tenzing Natural Energy,,10% Off on Classics,MARK10,Enjoy 10% Discount on Classic Bundle at Tenzing,,Active,https://tenzingnaturalenergy.com/,1
Tenzing Natural Energy,,Extra 20% Off on your Order,BCORP20,Extra 20% Off on All bundles and Packs,,Active,https://tenzingnaturalenergy.com/,
Tenzing Natural Energy,,25% Off on New Blend,THANKS25,25% Discount on Tenzing Peach & Honey Melon Natural Drink,,Active,https://tenzingnaturalenergy.com/,
Tenzing Natural Energy,,Free Shipping,,Get Free Shipping on All Orders at Tenzing Natural Energy,,Active,https://tenzingnaturalenergy.com/,4
Tenzing Natural Energy,,25% Off on Sign-Up,,Get 25% Off your Next Order + Early Access to Promotions and Offers,,Active,https://tenzingnaturalenergy.com/,5
Tenzing Natural Energy,,Up to 25% Off in The Big Energy Bundle,champion,Get Up to 25% Off on The Big Energy Bundle(12 Cans),,Active,https://tenzingnaturalenergy.com/,
,,,,,,,,
Staysure,,10% Off on Travel Insurance,SPLASH10,Enjoy 10% Off on Your Travel with Staysure Travel Insurance,,Active,https://www.staysure.co.uk/,1
Staysure,,20% Off on Selected Insurances,FLY20,Get 20% Discount on Selected Staysure Travel Insurances ,,Active,https://www.staysure.co.uk/,3
Staysure,,15% Off on Family Insurance,HOL15,Enjoy 15% Off on Staysure's Family Travel Insurances,,Active,https://www.staysure.co.uk/,2
Staysure,,Up to 20% Off on Selected Medical Insurances,QNB320,Save Up to 20% on Staysure's Insurance for Medical Travel and Cancer Patients,,Active,https://www.staysure.co.uk/,
Staysure,,20% Off on Insurance for Heart Conditions,SURE20,Get 20% Off on Staysure Insurance for Heart Conditions,,Active,https://www.staysure.co.uk/,
Staysure,,Save 20% on Insurance for Seniors,NQ15,Enjoy 20% Off on Insurance for Seniors over 70,,Active,https://www.staysure.co.uk/,
,,,,,,,,
Luvme hair,,Free Shipping,,Free Shipping on Orders over $60,,Active,https://shop.luvmehair.com/,4
Luvme hair,,Up to 50% Off Outlet Sale,,Save Up to 50% on Outlet Sale,,Active,https://shop.luvmehair.com/,5
Luvme hair,,27% Off on Key Workers Discount Program,,"Teachers, Healthcare Workers, First Responders and Military Personnel get 27% Discount",,Active,https://shop.luvmehair.com/,
Luvme hair,,Up to $120 Off ,,Save Up to $120 on The biggest Sale of First Half,,Active,https://shop.luvmehair.com/,
Luvme hair,,26% Off on your Order,SMC26,26% Off on Ultra Natural Look Wigs,,Active,https://shop.luvmehair.com/,2
Luvme hair,,27% Off Sitewide,DEMAND27,Enjoy 27% Off on All Hair Wigs ,,Active,https://shop.luvmehair.com/,
Luvme hair,,30% Off on your First Order,SNU30,Nuw Customers get 30% Off Sitewide,,Active,https://shop.luvmehair.com/,3
Luvme hair,,$20 Off on your Order,11TH20,Save $20 on Colored Wigs,,Active,https://shop.luvmehair.com/,1
Luvme hair,,Up to $100 of on your Order,SMC100,Get Up to $100 Sitewide on Orders over $349,,Active,https://shop.luvmehair.com/,
Luvme hair,,$40 Off on Selected Orders,11TH40,Enjoy $40 Savings on Best Seller Wigs,,Active,https://shop.luvmehair.com/,
